club,country
Ajax,Netherlands
Atalanta,Italy
Atlético,Spain
Barcelona,Spain
Bayern,Germany
Benfica,Portugal
Beşiktaş,Turkey
Chelsea,England
Club Brugge,Belgium
Dortmund,Germany
Dynamo Kyiv,Ukraine
Inter,Italy
Juventus,Italy
LOSC,France
Leipzig,Germany
Liverpool,England
Malmö,Sweden
Man. City,England
Man. United,England
Milan,Italy
Paris,France
Porto,Portugal
Real Madrid,Spain
Salzburg,Austria
Sevilla,Spain
Shakhtar Donetsk,Ukraine
Sheriff,Moldova
Sporting CP,Portugal
Villarreal,Spain
Wolfsburg,Germany
Young Boys,Switzerland
Zenit,Russia
